iter	Passed	Remaining
0	366	17963
1	435	10455
2	502	7874
3	566	6509
4	634	5707
5	712	5228
6	778	4779
7	852	4476
8	933	4253
9	1004	4018
10	1071	3797
11	1140	3611
12	1198	3410
13	1260	3241
14	1320	3080
15	1382	2938
16	1444	2803
17	1516	2695
18	1577	2574
19	1638	2458
20	1699	2346
21	1764	2245
22	1835	2154
23	1905	2064
24	1966	1966
25	2041	1884
26	2106	1794
27	2175	1708
28	2243	1624
29	2308	1539
30	2378	1457
31	2452	1379
32	2520	1298
33	2584	1216
34	2648	1135
35	2720	1058
36	2795	982
37	2847	899
38	2921	824
39	2984	746
40	3054	670
41	3115	593
42	3187	518
43	3261	444
44	3326	369
45	3403	295
46	3468	221
47	3537	147
48	3604	73
49	3668	0
